"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"PAMY",61,67,65,"Yes","Avg",NA,NA,NA,NA,0.0512592306794205,-8.39790014528976,-8.46081844991238,0,0,0,0,0,0,0,0,0
"VAME",61,23,43,"Yes","Unavg","Mod.15",0,1,0.173205090473305,-1.9028544208318,12.1217229106607,-16.3200437301525,NA,NA,NA,-0.617483565168917,1.19890916568921,23.5920562363559,-5.80818393778843,NA,NA
"VAME",61,23,43,"Yes","Avg",NA,NA,NA,NA,-1.9028544208318,12.1217229106607,-16.3200437301525,0,0,0,-0.617483565168917,1.19890916568921,23.5920562363559,-5.80818393778843,0,0
"ACMI",62,5,14,"Yes","Unavg","Mod.13",0,0.616396468726316,0.158656231801914,-3.31440675961293,-8.26094135831757,NA,NA,NA,NA,2.16858255811442,-0.456046461763317,7.24295551622047,33.2406132472312,NA,NA
"ACMI",62,5,14,"Yes","Unavg","Mod.15",0.948561651962265,0.383603531273684,0.166440516151417,-3.39424943308486,-10.8451602142204,-4.83266206981724,NA,NA,NA,2.31827492474308,-0.683689991634649,8.59986310753088,42.5469190469887,NA,NA
"ACMI",62,5,14,"Yes","Avg",NA,NA,NA,NA,-3.34503469110309,-9.25225683702595,-1.85382623543428,0,0,0,2.22600507855789,-0.543371323693566,7.76347005985921,36.810545015131,0,0
"ARUV",62,27,20,"Yes","Unavg","Mod.1",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",62,27,20,"Yes","Unavg","Mod.15",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.41012835389641,NA,NA,NA,-0.452360215899452,-0.0424021400672477,4.46439061759753,16.5489183930581,NA,NA
"ARUV",62,27,20,"Yes","Unavg","Mod.3",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",62,27,20,"Yes","Avg",NA,NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,0,0,0,-0.0975588372655961,-0.00914471108894579,0.962818440799977,3.56904338552363,0,0
"CARU",62,28,15,"Yes","Unavg","Mod.3",1.6345457124693,0.306342863270336,0.0789000535979369,-1.88040984105403,-12.2297536360871,-11.5120354991617,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",62,28,15,"Yes","Unavg","Mod.7",0,0.693657136729664,0.10329007672216,-1.54563067587765,-12.4515837757841,-12.1628949181223,NA,NA,NA,-0.472606815245899,-0.928614083162779,NA,NA,NA,NA
"CARU",62,28,15,"Yes","Avg",NA,NA,NA,NA,-1.64818788390104,-12.3836276956296,-11.9635087801314,0,0,0,-0.327827090262396,-0.644139786053535,0,0,0,0
"CEVE",62,23,21,"Yes","Unavg","Mod.15",0,0.369981641741317,0.152373088876571,-2.22035853537801,-20.9906824220838,-20.683770029502,NA,NA,NA,1.15248437430615,-0.351070086809407,9.2553435979466,22.8229960383596,NA,NA
"CEVE",62,23,21,"Yes","Unavg","Mod.31",0.291925682520628,0.319734366453014,0.168207923950884,-1.8834950821563,-15.1698170138126,-12.6645779168048,NA,NA,NA,0.563995160589191,-1.34108390929823,-2.39506624440162,17.456579252082,-19.3935161315833,-21.9191154804128
"CEVE",62,23,21,"Yes","Unavg","Mod.7",0.35193081355942,0.310283991805669,0.133788750811205,-1.97329028094697,-12.1372819868439,-18.6079852412742,NA,NA,NA,0.909634096331151,-0.60690003515715,NA,NA,NA,NA
"CEVE",62,23,21,"Yes","Avg",NA,NA,NA,NA,-2.03599038834767,-16.3824832804617,-17.475675929663,0,0,0,0.888971594732726,-0.746991466719374,2.65852223098152,14.0255578513291,-6.2007735936281,-7.00829450134023
