"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"PTAQ",56,47,22,"No","Avg.Confidence",-2.76994878833827,-44.7372036375076,-23.4824565204201,-1.39044441803126,-12.7045215065778,NA,NA,NA,NA,NA,NA,NA,-1.86636042424736,-15.0734966805006,-2.91058002182369,-0.136670336928787,23.0441582496102,NA,NA,NA,NA,NA,NA,NA
"RULA",56,18,12,"No","Avg.Confidence",-7.41045435404487,34.5917792957061,-98.1765878679132,-0.847735967208302,NA,NA,NA,NA,NA,NA,NA,NA,-3.72472897129818,126.906180095602,-29.1268373976632,0.472426448819914,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",56,33,21,"No","Avg.Confidence",-4.08729436311297,-71.63045229654,-54.5230234057596,-1.23376399875824,-25.0390061180542,-19.9358694956782,NA,NA,NA,NA,NA,NA,-2.42584856322638,-18.1954133848703,-11.5890296480292,0.731147537869413,32.2159958386162,29.9308115850649,NA,NA,NA,NA,NA,NA
"RUPE",56,23,24,"No","Avg.Confidence",-3.27356702885823,-2.53718331421752,-29.2143767983403,-0.300824323142267,NA,NA,NA,NA,NA,NA,NA,NA,-2.48811279690548,18.2947259547376,-6.86431487348764,0.327791023887917,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",56,15,22,"No","Avg.Confidence",-4.03667673031342,-41.9109159441638,-15.7335683913386,-0.508169419937557,-13.2691932074321,NA,NA,NA,NA,NA,NA,NA,-2.67629958413444,-4.77274374478862,7.78645364576021,1.09330416657887,19.0792609563829,NA,NA,NA,NA,NA,NA,NA
"SOSI",56,48,19,"No","Avg.Confidence",-3.15048573545443,22.8035895108563,-36.926773128435,-1.96866614291108,-14.5421576694984,NA,NA,NA,NA,NA,NA,NA,-2.07245182804896,53.0875520704662,-13.6229255007066,-0.435125320827371,23.9430735976427,NA,NA,NA,NA,NA,NA,NA
"SPBE",56,17,32,"No","Avg.Confidence",-4.66261799439953,-70.4315445405856,-33.8780093297214,-0.0610472297086374,-17.0665345765842,NA,NA,NA,NA,NA,NA,NA,-2.99042893354763,-19.0104385574535,-3.05876161573051,1.41474461316278,14.5558698682722,NA,NA,NA,NA,NA,NA,NA
"TITR",56,34,38,"No","Avg.Confidence",-2.82249856093035,-31.5625746069695,-18.4326717496956,-0.254919829445518,NA,NA,NA,NA,NA,NA,NA,NA,-2.11952041469697,-10.7505538432586,-0.663025945325389,0.332696038044899,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",56,10,25,"No","Avg.Confidence",-7.89797722659478,-160.243730805569,-66.1932217529727,-2.74341797091308,-116.137556694414,-36.4326622625877,NA,NA,NA,NA,NA,NA,-3.21679706697564,-9.1586472713128,4.49368013591324,3.00442502707006,61.5649964621313,28.5555761803889,NA,NA,NA,NA,NA,NA
"VAME",56,95,110,"Yes","Avg.Confidence",-1.52812431229655,3.70059728437006,-28.7286016854722,NA,NA,NA,-4.44674880623813,-0.040689850083007,12.8959911853729,-17.5798742233459,NA,NA,-0.997373861579257,19.8858521974233,-16.3783706169943,NA,NA,NA,-0.221101299227493,0.660171030607282,103.776724054793,4.92676437673575,NA,NA
"VASI",56,24,25,"No","Avg.Confidence",-4.5449329423859,28.1562384042313,-26.8052130217146,-0.304729438620223,NA,NA,NA,NA,NA,NA,NA,NA,-2.93410363142343,72.3804627327524,-0.578404155135463,0.330813370948091,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",57,72,58,"No","Avg.Confidence",-4.43590632903207,-125.084921319774,-51.1619747279566,-0.85772204353981,-13.820460369096,NA,NA,NA,NA,NA,NA,NA,-2.4940650336003,-61.0642979399781,-18.5121286125696,0.382211245588427,10.8875018633145,NA,NA,NA,NA,NA,NA,NA
"ACGL",57,15,12,"No","Avg.Confidence",-4.30824034007621,-49.0455234637335,-33.2243019833258,-0.546703247472415,NA,NA,NA,NA,NA,NA,NA,NA,-2.98267632196211,-6.62288068356225,0.71205278532388,0.407104854511479,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",57,10,22,"Yes","Avg.Confidence",-4.40252001909514,-34.4569685820297,-17.7984664321712,NA,NA,NA,1.85368177222454,-0.903282364170059,-16.2384856903111,-13.906887843201,NA,NA,-2.98382459553813,11.6273367520472,7.95844085973996,NA,NA,NA,3.92259469176712,1.09426265066082,39.0568406536529,70.847224716516,NA,NA
"AMAL",57,42,47,"No","Avg.Confidence",-3.33986992301298,-64.3799206422462,-32.9571415649182,-0.242993411259477,NA,NA,NA,NA,NA,NA,NA,NA,-2.26478657298506,-28.745214401526,-9.08641806022942,0.331323961356743,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",57,42,27,"Yes","Avg.Confidence",-2.64225304834869,-32.9060358855184,-17.243637571011,NA,NA,NA,-0.399524584530314,-1.1301110888638,-18.037199126051,-10.730059391787,NA,NA,-1.84029510448878,-4.83761905456244,-0.162728450459335,NA,NA,NA,1.62111840001058,0.0711160172885097,29.4563227263018,39.6841683720443,NA,NA
