"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"LIBO",21,48,63,"No","Avg",NA,NA,NA,NA,-5.0427133187177,0.0112203670276971,-7.55682921561704e-06,0.49796290147174,-0.000296042306607492,0,0,0,0,0,0,0
"LUPE",21,35,32,"No","Unavg","Mod.6",0,0.710607827944504,0.398508473731984,-33.1783103723352,0.033263818583824,-8.36739003723565e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUPE",21,35,32,"No","Unavg","Mod.7",1.7966758690693,0.289392172055496,0.398961277547863,-33.1229787593499,0.0332741593329516,-8.36947057462409e-06,-0.135592043806946,NA,NA,NA,NA,NA,NA,NA,NA
"LUPE",21,35,32,"No","Avg",NA,NA,NA,NA,-33.16229783667,0.0332668111156747,-8.36799212846953e-06,-0.0392392760707362,0,0,0,0,0,0,0,0
"MANE",21,61,58,"No","Unavg","Mod.6",0,0.72185252242787,0.263901648482232,-4.04227955717683,0.0114944149810614,-9.21151293781992e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",21,61,58,"No","Unavg","Mod.7",1.9073387751427,0.27814747757213,0.264043844690821,-4.00858592756892,0.0114948742005282,-9.21227981977886e-06,-0.0678151820706977,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",21,61,58,"No","Avg",NA,NA,NA,NA,-4.03290775909114,0.0114945427117977,-9.2117262441024e-06,-0.0188626218340593,0,0,0,0,0,0,0,0
"MEFE",21,26,15,"No","Unavg","Mod.31",0,0.478180976661071,0.0488093695941008,-4.18447779350178,0.00255038359747055,-8.64743145539393e-07,-6.81263281493597,0.0118353968335368,-5.04449284361024e-06,NA,NA,NA,NA,NA,NA
"MEFE",21,26,15,"No","Unavg","Mod.6",1.87272371453668,0.187471609103185,0.0239409314901858,-5.98432931629577,0.0055814396531974,-2.15239023182234e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",21,26,15,"No","Unavg","Mod.7",0.715617316664918,0.334347414235744,0.0339136306334287,-5.74188692959089,0.00560163513911805,-2.15982792902971e-06,-0.583956497922588,NA,NA,NA,NA,NA,NA,NA,NA
