"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"MEFE",100,26,16,"No","Unavg",0.0435992106348229,-2.61930086176514,7.07833882444437,-4.88207782983456,-0.896697272686577,-1.60486684683244,-25.4773769296575,NA,NA,NA,NA,NA,NA
"OPHO",100,29,16,"No","Unavg",0.133579542688581,-3.14102964885332,-39.2098281640495,-3.40140684445929,-1.02986307144417,-10.3363764738732,-36.0608008982227,NA,NA,NA,NA,NA,NA
"PAMY",100,127,100,"Yes","Unavg",0.0455921452852447,-0.698715634199251,-11.5023706115511,-9.15137917851763,NA,NA,NA,0.418624172184573,-0.447710920835946,NA,NA,NA,NA
"POMU",100,20,11,"No","Unavg",0.211361837032005,-4.18191292665409,-55.2816733971386,NA,-0.678386507984442,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",100,47,17,"No","Unavg",0.11734562788235,-2.38247324434499,-32.3560688569437,-16.5956917748475,-1.14164858664119,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",100,18,10,"No","Unavg",0.19297890206005,-5.35450073621781,77.5819290843402,-62.8699973713399,-0.645077472523105,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",100,33,20,"No","Unavg",0.109014042094637,-3.11023092053499,-41.9126708119234,-30.5772201899905,-0.55546400001099,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",100,23,23,"No","Unavg",0.0396225421671198,-2.88845433969396,6.89683564165658,-17.8535177945149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",100,15,22,"No","Unavg",0.0539984138900502,-3.17500904357065,-20.5015441506268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",100,48,23,"No","Unavg",0.158458956160146,-2.67535357379061,40.2131276176332,-26.423594802973,-0.872465743847856,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",100,17,30,"No","Unavg",0.113229081694231,-3.82003425329189,-44.4997755134208,-18.0879735670597,0.634136175941068,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",100,34,40,"No","Unavg",0.0458167940726976,-2.39138828790228,-19.0901000567665,-10.3204742009555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",100,10,30,"No","Unavg",0.227401710542171,-5.66538860974242,-89.5168878002395,-39.1786196900308,-0.129941647190053,-40.4581561572711,NA,NA,NA,NA,NA,NA,NA
"VAME",100,95,110,"Yes","Unavg",0.100869397826026,-1.26611076640254,11.8328310796807,-23.0858812698102,NA,NA,NA,-1.59668786387047,0.29690772686873,51.2503534788476,-7.5668411807307,NA,NA
"VASI",100,24,26,"No","Unavg",0.176669539376776,-3.81844912721375,53.6278646551179,-15.7355849772978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",11,72,58,"No","Unavg",0.245949442458693,-3.36334167995318,-91.6131358300222,-34.1522181538856,-0.315263261678458,NA,NA,NA,NA,NA,NA,NA,NA
