"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACCI",74,72,58,"No","Unavg",1.66379913450999,0.184672054414883,0.247942682980386,-3.29622128739819,-89.3322835094728,-34.2503797362637,-0.536096855546971,-7.27369168740815,NA,NA,NA,NA,NA,NA,NA
"ACCI",74,72,58,"No","Avg",NA,NA,NA,-3.4179000259694,-91.4196777530431,-33.9765621370956,-0.233026945411523,-1.34324758709412,NA,NA,NA,NA,NA,NA,NA
"ACGL",74,15,14,"No","Unavg",0,0.727919901398451,0.0647927796270882,-3.70243491446253,-32.2634525056639,-17.9876634267488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",74,15,14,"No","Unavg",1.96818902698774,0.272080098601549,0.0649228908806121,-3.66889336015265,-32.2620401342823,-17.9853001401746,-0.0681817329375134,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",74,15,14,"No","Avg",NA,NA,NA,-3.69330892505865,-32.2630682275192,-17.9870204235046,-0.0185508926204631,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",74,10,22,"Yes","Unavg",0,0.439188598471412,0.158663529579478,-3.74718851398751,-16.1529542349872,-9.03646768529335,NA,NA,NA,2.85419925846659,-0.3629322598773,12.2226247003336,57.592474936252,NA,NA
"ACMI",74,10,22,"Yes","Unavg",0.33476711516937,0.371498702854779,0.149797837759512,-3.6687749680583,-11.9688011114787,NA,NA,NA,NA,2.67718079992326,-0.185676393414193,8.23572980887816,43.6913240609367,NA,NA
"ACMI",74,10,22,"Yes","Unavg",1.68305758371588,0.189312698673808,0.167461536581513,-3.79745937337047,-17.9955828942424,-12.3361524275374,NA,NA,NA,2.80710874949423,-1.09082840767473,14.2645262979254,83.0315827624265,12.2519766241282,-13.897642650269
"ACMI",74,10,22,"Yes","Avg",NA,NA,NA,-3.727574895443,-14.9473797811953,-6.30410388514476,NA,NA,NA,2.77952229940091,-0.434881919506656,11.128056321606,57.2441615723109,2.31945475880213,-2.63100023532664
"AMAL",74,42,41,"No","Unavg",0,0.730118961539186,0.111043131105756,-2.73283177373648,-41.1761138008603,-19.555879201028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMAL",74,42,41,"No","Unavg",1.99045243653035,0.269881038460814,0.111061534890953,-2.72113261711184,-41.1756000407393,-19.5550078470881,-0.0235118843891589,NA,NA,NA,NA,NA,NA,NA,NA
"AMAL",74,42,41,"No","Avg",NA,NA,NA,-2.72967439319751,-41.1759751467453,-19.5556440391218,-0.00634541177511679,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",74,42,29,"Yes","Unavg",0,0.53266735876095,0.0478129335562277,-2.25984542656996,-20.6737815125798,-7.45574709401339,NA,NA,NA,0.627547892176271,-0.375586792987602,8.04148253649254,21.1895766631502,NA,NA
"ARUV",74,42,29,"Yes","Unavg",1.54680057390357,0.245794752932546,0.0402212604940233,-2.19126430272613,-16.6982785760109,NA,NA,NA,NA,0.498558218476643,-0.403427420131393,5.86646053365569,17.3097475239884,NA,NA
"ARUV",74,42,29,"Yes","Unavg",1.75460701759687,0.221537888306503,0.0354956086407811,-2.13571552857421,-11.9586092507808,-6.20697843794356,NA,NA,NA,0.501599962676061,-0.55612781871964,NA,NA,NA,NA
"ARUV",74,42,29,"Yes","Avg",NA,NA,NA,-2.21548907070125,-17.7658828913969,-5.34651400806376,NA,NA,NA,0.567940668860369,-0.422426550651263,5.72538048069422,15.5416409504064,NA,NA
"ATFI",74,24,30,"No","Unavg",0,0.326051859464164,0.0730333261612252,-2.82487349228367,-23.4135635485867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",74,24,30,"No","Unavg",0.0194542580777579,0.322895686092227,0.0781614532373723,-2.9351798393682,-29.3273052219346,-7.23228170527983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",74,24,30,"No","Unavg",1.22968705680313,0.176304553715153,0.0750278585658545,-2.95844223400579,-23.4387026701364,NA,0.253721980351902,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",74,24,30,"No","Unavg",1.24742415756623,0.174747900728456,0.0801604317907236,-3.06876657940502,-29.3557792668796,-7.24066997706173,0.25363644142273,NA,NA,NA,NA,NA,NA,NA,NA
"ATFI",74,24,30,"No","Avg",NA,NA,NA,-2.92665951828211,-26.3659070876275,-3.60056444159769,0.089054776200525,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",74,32,29,"No","Unavg",0,0.709249566486509,0.389305153192927,-8.22441983428655,168.598308134224,-41.6814150571211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",74,32,29,"No","Unavg",1.78348436009009,0.290750433513491,0.389819692790352,-8.15615478710515,168.65983264168,-41.6870424460916,-0.14439854627675,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",74,32,29,"No","Avg",NA,NA,NA,-8.20457174222474,168.616196411438,-41.6830512229038,-0.041983939928683,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",74,33,19,"Yes","Unavg",0,0.679319772496836,0.0559644817951491,-2.50825185218627,-12.757822479273,-16.6935246777885,NA,NA,NA,0.412587784662704,-0.75585586801589,NA,NA,NA,NA
"CARU",74,33,19,"Yes","Unavg",1.50129502464762,0.320680227503164,0.0626103025433925,-2.59328446129699,-19.3969019294339,-17.8077242423351,NA,NA,NA,0.529920121382392,-0.650879545446535,24.5442849764877,12.0999725471663,NA,NA
"CARU",74,33,19,"Yes","Avg",NA,NA,NA,-2.53552012862109,-14.8868439877622,-17.0508264476312,NA,NA,NA,0.450213945095452,-0.722192037011904,7.87086689016257,3.88022194920733,NA,NA
"CEVE",74,26,21,"Yes","Unavg",0,0.700376899934949,0.135761005357035,-2.88208548348628,-13.0166047780643,-23.776604037892,NA,NA,NA,2.13174044310616,-0.926527792458643,NA,NA,NA,NA
"CEVE",74,26,21,"Yes","Unavg",1.69818653385931,0.299623100065051,0.142343892064393,-2.97398348061577,-20.7048965552524,-24.9728955772246,NA,NA,NA,2.22813038722889,-0.822682365371787,8.46012999577511,23.0493885456266,NA,NA
"CEVE",74,26,21,"Yes","Avg",NA,NA,NA,-2.90962024627599,-15.32019459455,-24.1350406174884,NA,NA,NA,2.16062109697931,-0.8954133036673,2.53485037628747,6.90612925064451,NA,NA
"CHUM",74,61,52,"No","Unavg",0,0.344584613560704,0.162927259599145,-2.49125505468904,-48.862386567814,-30.6737175931674,-0.686669336536551,-20.1017238420009,NA,NA,NA,NA,NA,NA,NA
"CHUM",74,61,52,"No","Unavg",0.329264326464795,0.292278615414029,0.156071834517718,-2.72696463778207,-55.5569798159801,-29.150425818135,NA,NA,NA,NA,NA,NA,NA,NA,NA
